sample_accession	run_accession	setup
TJP1_D40_2	TJP1_D40_2__HJLT7DSX3_19274365_S101_L002	paired
TJP1_D40_3	TJP1_D40_3__HJLT7DSX3_19270631_S93_L002	paired
kk_10	kk_10_HCLNKDSX3_19235443_S77_L004	paired
kk_11	kk_11_HCLNKDSX3_19235445_S66_L004	paired
kk_12	kk_12_HCLNKDSX3_19235447_S60_L004	paired
kk_13	kk_13_HCLNKDSX3_19235449_S55_L004	paired
kk_14	kk_14_HCLNKDSX3_19235451_S56_L004	paired
kk_15	kk_15_HCLNKDSX3_19235455_S50_L004	paired
kk_16	kk_16_HCLNKDSX3_19235457_S73_L004	paired
kk_17	kk_17_HCLNKDSX3_19235459_S57_L004	paired
kk_18	kk_18_HCLNKDSX3_19235461_S68_L004	paired
kk_19	kk_19_HCLNKDSX3_19235463_S52_L004	paired
kk_1	kk_1_HCLNKDSX3_19235433_S58_L004	paired
kk_20	kk_20_HCLNKDSX3_19235465_S70_L004	paired
kk_21	kk_21_HCLNKDSX3_19235467_S74_L004	paired
kk_22	kk_22_HCLNKDSX3_19235469_S75_L004	paired
kk_23	kk_23_HCLNKDSX3_19235471_S59_L004	paired
kk_24	kk_24_HCLNKDSX3_19235473_S62_L004	paired
kk_25	kk_25_HCLNKDSX3_19235475_S51_L004	paired
kk_26	kk_26_HCLNKDSX3_19235477_S76_L004	paired
kk_27	kk_27_HCLNKDSX3_19235479_S71_L004	paired
kk_28	kk_28_HCLNKDSX3_19235481_S54_L004	paired
kk_29	kk_29_HCLNKDSX3_19235483_S65_L004	paired
kk_2	kk_2_HCLNKDSX3_19235435_S72_L004	paired
kk_30	kk_30_HCLNKDSX3_19235485_S63_L004	paired
kk_3	kk_3_HCLNKDSX3_19235437_S49_L004	paired
kk_4	kk_4_HCLNKDSX3_19235439_S53_L004	paired
kk_5	kk_5_HCLNKDSX3_19235453_S67_L004	paired
kk_6	kk_6_HCLNKDSX3_19235427_S61_L004	paired
kk_7	kk_7_HCLNKDSX3_19235429_S64_L004	paired
kk_8	kk_8_HCLNKDSX3_19235431_S78_L004	paired
kk_9	kk_9_HCLNKDSX3_19235441_S69_L004	paired
