sample_accession	run_accession	setup
MF_22metformin	HGNTMDSX5_19422368_S71_L002	paired
MF_22metformin	HGNTMDSX5_19422368_S71_L003	paired
MF_23metformin	HGNTMDSX5_19422370_S82_L002	paired
MF_23metformin	HGNTMDSX5_19422370_S82_L003	paired
MF_24metformin	HGNTMDSX5_19422372_S65_L002	paired
MF_24metformin	HGNTMDSX5_19422372_S65_L003	paired
MF_25metformin	HGNTMDSX5_19422374_S37_L002	paired
MF_25metformin	HGNTMDSX5_19422374_S37_L003	paired
MF_26metformin	HGNTMDSX5_19422376_S34_L002	paired
MF_26metformin	HGNTMDSX5_19422376_S34_L003	paired
MF_27metformin	HGNTMDSX5_19422378_S81_L002	paired
MF_27metformin	HGNTMDSX5_19422378_S81_L003	paired
MF_28metformin	HGNTMDSX5_19422380_S75_L002	paired
MF_28metformin	HGNTMDSX5_19422380_S75_L003	paired
MF_48metformin	HGNTMDSX5_19422382_S39_L002	paired
MF_48metformin	HGNTMDSX5_19422382_S39_L003	paired
MF_29metformin	HGNTMDSX5_19422408_S70_L002	paired
MF_29metformin	HGNTMDSX5_19422408_S70_L003	paired
MF_30metformin	HGNTMDSX5_19422410_S66_L002	paired
MF_30metformin	HGNTMDSX5_19422410_S66_L003	paired
MF_31metformin	HGNTMDSX5_19422412_S61_L002	paired
MF_31metformin	HGNTMDSX5_19422412_S61_L003	paired
MF_32metformin	HGNTMDSX5_19422414_S86_L002	paired
MF_32metformin	HGNTMDSX5_19422414_S86_L003	paired
MF_33metformin	HGNTMDSX5_19422416_S55_L002	paired
MF_33metformin	HGNTMDSX5_19422416_S55_L003	paired
MF_34metformin	HGNTMDSX5_19422418_S76_L002	paired
MF_34metformin	HGNTMDSX5_19422418_S76_L003	paired
MF_35metformin	HGNTMDSX5_19422420_S74_L002	paired
MF_35metformin	HGNTMDSX5_19422420_S74_L003	paired
MF_36metformin	HGNTMDSX5_19422422_S72_L002	paired
MF_36metformin	HGNTMDSX5_19422422_S72_L003	paired
MF_37metformin	HGNTMDSX5_19422424_S45_L002	paired
MF_37metformin	HGNTMDSX5_19422424_S45_L003	paired
MF_38metformin	HGNTMDSX5_19422426_S56_L002	paired
MF_38metformin	HGNTMDSX5_19422426_S56_L003	paired
MF_39metformin	HGNTMDSX5_19422428_S48_L002	paired
MF_39metformin	HGNTMDSX5_19422428_S48_L003	paired
